,Compound,Comments,Company
205,0.0,"Social Media Companies Should Be Accountable For Policies, Facebook Exec Says",FB
206,0.0,Facebook will try to 'nudge' teens away from harmful content,FB
207,0.6369,These Are The 5 Best Stocks To Buy And Watch Now,FB
208,0.0,"Facebook Is Willing to Open Algorithms to Regulators, Clegg Says",FB
209,0.0,Why Facebook Is Still Bulletproof,FB
210,0.0,Big Techs Stocks Have Bounced Back. But Theyre Not Out of The Woods.,FB
211,0.0,Facebook (NASDAQ:FB) is Zigging Where it Should be Zagging,FB
212,0.4404,Why Facebook Is a Better Buy Than Apple,FB
213,0.4019,UPDATE 1-Philippine Nobel winner Ressa calls Facebook 'biased against facts',FB
214,0.4019,"Philippine Nobel winner Ressa calls Facebook ""biased against facts""",FB
215,0.0,"Southwest Airlines, Facebook, Pfizer: Stocks That Defined the Week",FB
216,0.3612,"Teens Like Snapchat and TikTok. Facebook? Except for Instagram, Not So Much.",FB
217,0.3612,"Facebook apologizes for second outage in a week, services back up",FB
218,0.0,"Facebook, Instagram Back to Normal Following Another Outage",FB
219,0.0,Google Tests Ways to Showcase Breaking News in Twitter-Like Move,FB
220,0.2023,"Stock Market Rally Attempt Faces Resistance; Oil Prices, Treasury Yields Hit Highs",FB
221,-0.5719,Fury as Facebook and Instagram down for second time in a week,FB
222,-0.4019,Facebooks Problems Have Grown. The Will to Regulate It Hasnt.,FB
223,-0.4019,Facebook Left Out of Big Tech Rebound in 4th Week of Losses,FB
224,0.3612,"UPDATE 3-Facebook apologizes for second outage in a week, services back up",FB
225,0.3612,"Facebook apologizes for second outage in a week, services back up",FB
226,0.0,Dont count on Facebook to be the right source of information: NIH head urges the unvaccinated not to listen to unreliable sources on vaccines,FB
227,0.0,Facebook: global tax deal could mean us paying more tax,FB
228,0.0,Weekend reads: Could the IRS monitor your bank account?,FB
229,0.0516,"INVESTIGATION REMINDER: The Schall Law Firm Announces it is Investigating Claims Against Facebook, Inc. and Encourages Investors with Losses to Contact the Firm",FB
230,0.6874,"FB INVESTOR ALERT: ROSEN, A TOP RANKED LAW FIRM, Encourages Facebook, Inc. Investors with Losses to Inquire About Class Action Investigation  FB",FB
231,0.0,"Zuckerberg Can Skip Testifying in Court Case, as Rough Week Ends",FB
232,0.3818,UPDATE 1-Lawmakers: FTC must ensure tech companies uphold youth online privacy,FB
233,0.3818,Lawmakers: FTC must ensure tech companies uphold youth online privacy,FB
234,0.891,Maria Ressas Nobel peace prize win is an indictment of Facebook,FB
235,0.3818,Market Sell-Off: 2 Monster Growth Stocks to Buy at a Discount,FB
236,-0.3182,Apple Stock Could Struggle. This Analyst Explains Why.,FB
237,0.4215,Public Investment Fund: Meet the new Saudi owners of Newcastle United,FB
238,0.0,What concerns Michael Dell the most about A.I.,FB
239,0.0,Billionaire Peter Thiel's Palantir pops  3 more of his ideas that could surge next,FB
240,0.0,SurveyMonkey Owner Momentive Is Exploring Potential Sale,FB
241,-0.34,"Google Wont Fund Sites, YouTube Videos That Deny Climate Change",FB
242,-0.4549,Facebooks stock price has more to lose from Apple than the whistleblower,FB
243,0.0,A Storm is Upon Facebook's Empire,FB
244,0.0,How social media is changing the stock market,FB
245,0.0,Russian court tells bailiffs to enforce collection of unpaid Facebook fines,FB
246,0.0,4 Stocks Insiders Are Selling,FB
247,0.0,Australia wants Facebook held liable for anonymous comments,FB
248,-0.5142,Why the Facebook whistleblower doesnt want the company broken up,FB
249,0.0,The U.S.-China relationship is a little bit frosty: Michael Dell,FB
250,-0.6249,Facebook Has Reportedly Slowed Product Rollouts Amid Reputational Crisis,FB
251,0.2023,Top Facebook Shareholders,FB
252,0.0,Facebook Stock Rises; JPMorgan Says Buy on the Pullback,FB
253,0.0,"Think of Facebook as a money maker, not a babysitter: Morning Brief",FB
254,0.0,Influencers with Andy Serwer: Michael Dell,FB
255,0.0,UPDATE 4-'A coward's palace': Australian PM slams social media amid defamation law controversy,FB
256,-0.4023,We will never be free from the Facebook News Feed,FB
257,0.0,Does the Return of Old School Marketing Make This Ad-Tech Alternative Bigger than Blockchain?,FB
258,-0.3716,Facebook (FB) Gains But Lags Market: What You Should Know,FB
259,0.0,Professor calls for access to Facebook algorithms and data,FB
260,-0.4588,Facebook stock faces 'serious problems' from whistleblower: Analyst,FB
261,-0.6249,"Facebook Stocks Familiar Crisis Cycle: Decline, Rebound, Repeat",FB
262,-0.296,"Facebook Is Under Pressure From Lawmakers, Consumers And Investors",FB
263,0.3818,Messaging apps Signal and Telegram say they gained millions of new users during Facebooks outage,FB
264,0.0,UPDATE 1-Facebook slows down new product rollouts - WSJ,FB
265,0.0,Facebook slows down new product rollouts - WSJ,FB
266,0.4215,"Facebook outage, whistleblower presents buying opportunity: Analyst",FB
267,-0.3612,If Facebook went away I would be lonely,FB
268,-0.5267,Facebook exec on moderating hate speech outside the US: Language is a challenge,FB
269,0.4404,Facebook Exec: Regulation is a big part of getting social media to a better place,FB
270,0.4404,Facebook is putting its profits ahead of people: expert,FB
271,0.0,Why Facebook Stock Fell This Morning,FB
272,-0.5859,"Amazon's streaming giant Twitch hacked, exposing crucial internal data",FB
273,-0.34,"FB Stock A Buy? Facebook's Zuckerberg Under Fire, Calls For Regulation",FB
274,0.0,The Real Fallout for Facebook May Be Still to Come,FB
275,0.0,Mark Zuckerberg Breaks Silence After Facebook Whistleblowers Testimony. What He Said.,FB
276,0.0,"3 Reasons to Buy Pinterest, And 1 Reason To Sell",FB
277,-0.1027,Fake reviews infiltrate Facebook to boost ratings,FB
278,0.0,10 Small-Cap Stocks to Buy According to Australias Warren Buffett Kerr Neilson,FB
279,-0.4019,"If Facebook is the problem, is a social media regulator the fix?",FB
280,0.0,Why Is Everyone Talking About Facebook Stock?,FB
281,-0.3818,Facebook exec has seen serious mischaracterizations of leaked documents,FB
282,0.0,Yahoo Finance Presents: Facebook VP of Content Policy Monika Bickert,FB
283,-0.4019,"If Facebook is the problem, is a social media regulator the fix?",FB
284,0.3818,Facebook Outage Prompts South Africa to Promote Local Developers,FB
285,0.0,"Facebook down - live updates: Company explains outage as WhatsApp, Instagram and other apps come back online",FB
286,-0.4767,"Facebook outage: Single wrong command took down backbone of network, says company",FB
287,0.5859,Snapchat Was the Biggest Winner the Day Facebook Went Dark,FB
288,0.1451,Zuckerberg Responds to Claims That Facebook Prioritizes Profit as Just Not True,FB
289,0.0,Millions Flock to Signal and Telegram After Facebook Outage,FB
290,0.0,Facebook (FB) Whistleblower Testifies Before US Senate,FB
291,0.0,"70m people signed up for Telegram messaging app during Facebooks hours-long outage, founder says",FB
292,0.3775,"Facebook wont get in trouble for putting profit over people, but that is far from the only issue",FB
293,-0.4404,Why the case for breaking up Facebook Is 'weaker than ever',FB
294,-0.0772,"Facebook Needs Serious Talks With Policy Makers, Bickert Says",FB
295,0.0,"Senator Warren on Powell as Fed Chair, Stablecoins, Facebook",FB
296,0.0,Facebook Outage Is Felt Acutely by Small-Business Owners,FB
297,0.296,Facebooks 6-hour outage highlights how vital the app has become worldwide,FB
298,-0.4215,Facebook Hearing Elevates Washington's Distrust Of Big Tech,FB
299,-0.0258,Dow Jones Gains As Apple Pops; Schumer Makes This Debt Move; Facebook Up As Whistleblower Testifies,FB
